"optionid","cp_flag","total_return_pct","cumulative_gain","initial_value"
45801653,"P",-3.92546395647098,-4.9833244509015,126.94867425
45801653,"P",-3.92546395647098,-4.9833244509015,126.94867425
45801653,"P",-3.92546395647098,-4.9833244509015,126.94867425
45801653,"P",-3.92546395647098,-4.9833244509015,126.94867425
45801653,"P",-3.92546395647098,-4.9833244509015,126.94867425
45801653,"P",-3.92546395647098,-4.9833244509015,126.94867425
45801653,"P",-3.92546395647098,-4.9833244509015,126.94867425
45801653,"P",-3.805842444355,-2.39162884,62.84098396
45801653,"P",-3.805842444355,-2.39162884,62.84098396
45801653,"P",-3.08835031453473,-2.29042736000001,74.16345708
45801653,"P",-3.08835031453473,-2.29042736000001,74.16345708
45801653,"P",-3.08835031453473,-2.29042736000001,74.16345708
45801653,"P",-3.08835031453473,-2.29042736000001,74.16345708
45801653,"P",-3.08835031453473,-2.29042736000001,74.16345708
45801653,"P",-3.08835031453473,-2.29042736000001,74.16345708
45801653,"P",-3.08835031453473,-2.29042736000001,74.16345708
45801653,"P",-3.09717315482266,-5.81463826375101,187.7401738
45801653,"P",-3.09717315482266,-5.81463826375101,187.7401738
45801653,"P",-3.09717315482266,-5.81463826375101,187.7401738
45801653,"P",-3.09717315482266,-5.81463826375101,187.7401738
45801653,"P",-3.09717315482266,-5.81463826375101,187.7401738
45801653,"P",-3.09717315482266,-5.81463826375101,187.7401738
45801653,"P",-3.09717315482266,-5.81463826375101,187.7401738
45801653,"P",0.753011300180342,0.249578519999995,33.14406038
45801653,"P",0.753011300180342,0.249578519999995,33.14406038
45801653,"P",0.753011300180342,0.249578519999995,33.14406038
45801653,"P",0.753011300180342,0.249578519999995,33.14406038
45801653,"P",0.753011300180342,0.249578519999995,33.14406038
45801653,"P",0.753011300180342,0.249578519999995,33.14406038
45801653,"P",0.753011300180342,0.249578519999995,33.14406038
45801653,"P",-3.805842444355,-2.39162884,62.84098396
45801653,"P",-3.805842444355,-2.39162884,62.84098396
45801653,"P",-3.805842444355,-2.39162884,62.84098396
45801653,"P",0.850574165347496,0.280388059999996,32.9645634
45801653,"P",-3.805842444355,-2.39162884,62.84098396
45801653,"P",-3.805842444355,-2.39162884,62.84098396
45801653,"P",0.850574165347496,0.280388059999996,32.9645634
46722194,"P",-6.99351459896755,-1.9933843069624,28.5033266
46722194,"P",-5.40720800270542,-1.01053331,18.68863394
46722194,"P",-5.40720800270542,-1.01053331,18.68863394
46722194,"P",-5.40720800270542,-1.01053331,18.68863394
46722194,"P",-5.40720800270542,-1.01053331,18.68863394
46722194,"P",-6.99351459896755,-1.9933843069624,28.5033266
46722194,"P",-6.99351459896755,-1.9933843069624,28.5033266
46722194,"P",-6.99351459896755,-1.9933843069624,28.5033266
46722194,"P",-5.09942624232619,-0.90526648,17.7523203
46722194,"P",-5.09942624232619,-0.90526648,17.7523203
46722194,"P",-5.09942624232619,-0.90526648,17.7523203
46722194,"P",-5.09942624232619,-0.90526648,17.7523203
46722194,"P",-7.1728474858949,-2.0806100614878,29.00675172
46722194,"P",-7.1728474858949,-2.0806100614878,29.00675172
46722194,"P",-7.1728474858949,-2.0806100614878,29.00675172
46722194,"P",-7.15091672969923,-2.0742486614878,29.00675172
46750643,"C",-4.7525213643064,-7.37719902999999,155.22705664
46397285,"P",-2.31709378339398,-11.2489708000001,485.47757888
46397285,"P",-2.76776978563747,-13.34370004,482.11018522
46397285,"P",-2.76776978563747,-13.34370004,482.11018522
46397285,"P",-2.76776978563747,-13.34370004,482.11018522
46397285,"P",-2.76776978563747,-13.34370004,482.11018522
46397285,"P",-2.76776978563747,-13.34370004,482.11018522
46397285,"P",-2.80941600133343,-10.40439631,370.3401812
46397285,"P",-2.80941600133343,-10.40439631,370.3401812
46397285,"P",-2.80941600133343,-10.40439631,370.3401812
46397285,"P",-2.80941600133343,-10.40439631,370.3401812
46397285,"P",-2.80941600133343,-10.40439631,370.3401812
46397285,"P",-2.14241616694175,-8.46227869000002,394.98762288
46397285,"P",-2.14241616694175,-8.46227869000002,394.98762288
46397285,"P",-2.14241616694175,-8.46227869000002,394.98762288
46397285,"P",-2.14241616694175,-8.46227869000002,394.98762288
46397285,"P",-2.14241616694175,-8.46227869000002,394.98762288
46397285,"P",-1.63160765823067,-6.50809663000002,398.87632282
46397285,"P",-1.63160765823067,-6.50809663000002,398.87632282
46397285,"P",-1.63160765823067,-6.50809663000002,398.87632282
46397285,"P",-1.63160765823067,-6.50809663000002,398.87632282
46397285,"P",-1.63160765823067,-6.50809663000002,398.87632282
46397285,"P",-2.31709378339398,-11.2489708000001,485.47757888
46397285,"P",-2.31709378339398,-11.2489708000001,485.47757888
46397285,"P",-2.31709378339398,-11.2489708000001,485.47757888
46397285,"P",-2.31709378339398,-11.2489708000001,485.47757888
46628967,"C",-2.6744373033912,-6.32104154999999,236.3503359
45247258,"C",-4.25097907440822,-11.04735195,259.87782477
45247258,"C",-4.25097907440822,-11.04735195,259.87782477
45247258,"C",-4.25097907440822,-11.04735195,259.87782477
45247258,"C",-3.27060765961198,-9.52274813999994,291.16143332
45247258,"C",-3.27060765961198,-9.52274813999994,291.16143332
45247258,"C",-3.27060765961198,-9.52274813999994,291.16143332
45247258,"C",-2.68325441190046,-8.79113881999997,327.6297164
45247258,"C",-2.68325441190046,-8.79113881999997,327.6297164
45247258,"C",-2.68325441190046,-8.79113881999997,327.6297164
46403658,"C",-2.40985863698081,-6.08134358,252.3527101
45262148,"C",-0.110328641777926,-0.754038729999941,683.44784985
45262148,"C",-0.110328641777926,-0.754038729999941,683.44784985
45262148,"C",-0.110328641777926,-0.754038729999941,683.44784985
45262148,"C",-0.110328641777926,-0.754038729999941,683.44784985
45262148,"C",-0.0590881546203974,-0.415005829999973,702.3502979
45262148,"C",-0.0590881546203974,-0.415005829999973,702.3502979
